Symbol,Company_Name
NGPL,Ngadi Group Power Ltd.
NHDL,Nepal Hydro Developers Ltd.
NHPC,National Hydro Power Company Limited
NICA,NIC Asia Bank Ltd.
NICL,Nepal Insurance Co. Ltd.
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited
NIFRA,Nepal Infrastructure Bank Limited
NIL,Neco Insurance Co. Ltd.
NIMB,Nepal Investment Mega Bank Limited
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share ( NIMBPO )
NLG,NLG Insurance Company Ltd.
NLIC,Nepal Life Insurance Co. Ltd.
NLICL,National Life Insurance Co. Ltd.
NLO,Nepal Lube Oil Limited
NMB,NMB Bank Limited
NMBMF,NMB Microfinance Bittiya Sanstha Ltd.
NMFBS,National Microfinance Bittiya Sanstha Ltd.
NMIC,Nepal Micro Insurance Company Ltd.
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited
NRIC,Nepal Reinsurance Company Limited
NRM,Nepal Republic Media Limited
NRN,NRN Infrastructure and Development Limited
NTC,Nepal Doorsanchar Comapany Limited
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited
NWCL,Nepal Warehousing Company Ltd
NYADI,Nyadi Hydropower Limited
OHL,Oriental Hotels Limited
OMPL,Om Megashree Pharmaceuticals Limited
PCBL,Prime Commercial Bank Ltd.
PFL,Pokhara Finance Ltd.
PHCL,Peoples Hydropower Company Limited
PMHPL,Panchakanya Mai Hydropower Ltd
PMLI,Prabhu Mahalaxmi Life Insurance Ltd
PPCL,Panchthar Power Compant Limited
PPL,People`s Power Limited
PRIN,Prabhu Insurance Ltd.
PROFL,ProgressiveFinance Limited
PRVU,Prabhu Bank Limited
PURE,Pure Energy Ltd
RADHI,Radhi Bidyut Company Ltd
RAWA,Rawa Energy Development Limited
RBCL,Rastriya Beema Company Limited
RFPL,River Falls Power Limited
RHGCL,Rapti Hydro and General Construction Limited
RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED
RIDI,Ridi Power Company Ltd.
RLFL,Reliance Finance Ltd.
RNLI,Reliable Nepal Life Insurance Limited
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.
RURU,Ru Ru Jalbidhyut Pariyojana Limited
SADBL,Shangrila Development Bank Ltd.
SAGAR,Sagar Distillery Limited
SAHAS,Sahas Urja Limited
SAIL,Shreenagar Agritech Industries Ltd
SALICO,Sagarmatha Lumbini Insurance Company Limited
SANIMA,Sanima Bank Limited
SANVI,Sanvi Energy Limited
SAPDBL,Saptakoshi Development Bank Ltd
SARBTM,Sarbottam Cement Limited
SBI,Nepal SBI Bank Limited
SBL,Siddhartha Bank Limited
SCB,Standard Chartered Bank Limited
SFCL,Samriddhi Finance Company Limited
SGHC,Swet-Ganga Hydropower and Construction Limited
SGIC,Sanima GIC Insurance Limited
SHEL,Singati Hydro Energy Limited
SHINE,Shine Resunga Development Bank Ltd.
SHIVM,SHIVAM CEMENTS LTD
SHL,Soaltee Hotel Limited
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited
SHPC,Sanima Mai Hydropower Ltd.
SICL,Shikhar Insurance Co. Ltd.
SIFC,Shree Investment Finance Co. Ltd.
SIKLES,Sikles Hydropower Limited
SINDU,Sindhu Bikash Bank Ltd
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED
SJLIC,Suryajyoti Life Insurance Company Limited
SKBBL,Sana Kisan Bikas Bank Ltd
SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited
SMB,Support Microfinance Bittiya Sanstha Ltd.
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited
SMH,Supermai Hydropower Limited
SMHL,Super Madi Hydropower Limited
SMJC,Sagarmatha Jalbidhyut Company Limited
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited
SNLI,Sun Nepal Life Insurance Company Limited
SONA,Sonapur Minerals and Oil Limited
SPC,Samling Power Company Limited
SPDL,Synergy Power Development Ltd.
SPHL,Sayapatri Hydropower Limited
SPIL,Siddhartha Premier Insurance Limited
SPL,Shuvam Power Limited
SRLI,Sanima Reliance Life Insurance Limited
SSHL,Shiva Shree Hydropower Ltd
STC,Salt Trading Corporation
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited
SYPNL,SY Panel Nepal Limited
TAMOR,Sanima Middle Tamor Hydropower Limited
TPC,Terhathum Power Company Limited
TRH,Taragaon Regency Hotel Limited
TSHL,Three Star Hydropower Limited
TTL,Trade Tower Limited
TVCL,Trishuli Jal Vidhyut Company Limited
UAIL,United Ajod Insurance Limited
UHEWA,Upper Hewakhola Hydropower Company Limited
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited
ULHC,Upper Lohore Hydropower Company Limited
UMHL,United Modi Hydropower Ltd.
UMRH,United Idi-Mardi and R.B. Hydropower Limited
UNHPL,Union Hydropower Limited
UNL,Unilever Nepal Limited
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Ltd.
UPCL,UNIVERSAL POWER COMPANY LTD
UPPER,Upper Tamakoshi Hydropower Ltd
USHEC,Upper Solu Hydro Electric Company Limited
USHL,Upper Syange Hydropower Limited
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.
VLUCL,Vision Lumbini Urja Company Limited
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Ltd.
